icd_code,champs_icd_group_desc
O63.9,Other labor and delivery complications
O64.1,Obstructed labor and fetal malpresentation
O65.4,Obstructed labor and fetal malpresentation
O66,Obstructed labor
O66.0,Obstructed labor
O66.9,Obstructed labor
O68,Other labor and delivery complications
O69.0,Prolapsed cord
O69.2,Umbilical cord complications
O69.9,Other labor and delivery complications
O71.0,Uterine rupture
O71.1,Uterine rupture
O75.6,Other labor and delivery complications
O98.0,Maternal infection
O98.6,Maternal infection
O98.7,HIV
O99.0,Other maternal factor
P 20.1,Perinatal asphyxia/hypoxia
P 36.4,Neonatal sepsis
P00.0,Maternal hypertension
P00.1,Other maternal factor
P00.2,Maternal infection
P00.3,Maternal circulatory and respiratory diseases
P00.4,Maternal nutritional disorders
P00.5,Maternal injury and accident
P00.6,Maternal surgical and medical procedures
P00.8,Other maternal factor
P00.9,Other maternal factor
P01,Cervical insufficiency and pelvic anomalies
P01.0,Cervical insufficiency and pelvic anomalies
P01.1,Premature Rupture of membranes
P01.2,Uterine fluid disorders
P01.3,Uterine fluid disorders
P01.5,Multiple gestation
P01.7,Malpresentation before labor
P01.8,Other maternal factor
P01.9,Other maternal factor
P02.0,Placental complications
P02.1,Placental complications
P02.2,Placental complications
P02.3,Placental complications
P02.4,Umbilical cord complications
P02.5,Umbilical cord complications
P02.6,Umbilical cord complications
P02.7,Chorioamnionitis and membrane complications
P02.8,Chorioamnionitis and membrane complications
P03.0,Obstructed labor and fetal malpresentation
P03.1,Obstructed labor and fetal malpresentation
P03.3,Other labor and delivery complications
P03.4,Cesarean delivery
P03.5,Other labor and delivery complications
P03.6,Other labor and delivery complications
P03.8,Other labor and delivery complications
P03.9,Other labor and delivery complications
P04.1,Maternal medication or toxic exposure
P05.0,Other neonatal disorders
P05.1,Other neonatal disorders
P05.2,Other neonatal disorders
P05.9,Other neonatal disorders
P07.0,Neonatal preterm birth complications
P07.1,Neonatal preterm birth complications
P07.14,Neonatal preterm birth complications
P07.15,Neonatal preterm birth complications
P07.18,Neonatal preterm birth complications
P07.2,Neonatal preterm birth complications
P07.3,Neonatal preterm birth complications
P08.0,Other neonatal disorders
P08.1,Other neonatal disorders
P08.2,Other neonatal disorders
P12.2,BIrth trauma
P15,Birth trauma
P15.8,BIrth trauma
P15.9,BIrth trauma
P20,Perinatal asphyxia/hypoxia
P20.0,Perinatal asphyxia/hypoxia
P20.1,Perinatal asphyxia/hypoxia
P20.9,Perinatal asphyxia/hypoxia
P21,Perinatal asphyxia/hypoxia
P21.0,Perinatal asphyxia/hypoxia
P21.1,Perinatal asphyxia/hypoxia
P21.9,Perinatal asphyxia/hypoxia
P22,Neonatal preterm birth complications
P22.0,Neonatal preterm birth complications
P22.9,Neonatal preterm birth complications
P23.0,Congenital infection
P23.2,Congenital infection
P23.3,Congenital infection
P23.4,Congenital infection
P23.6,Congenital infection
P23.8,Congenital infection
P23.9,Congenital infection
P24.0,Neonatal aspiration syndromes
P24.1,Neonatal aspiration syndromes
P24.9,Neonatal aspiration syndromes
P25.1,Neonatal preterm birth complications
P25.2,Neonatal preterm birth complications
P26,Neonatal preterm birth complications
P26.8,Neonatal preterm birth complications
P26.9,Neonatal preterm birth complications
P27.1,Neonatal preterm birth complications
P28.0,Neonatal preterm birth complications
P28.4,Other neonatal disorders
P29.0,Other neonatal disorders
P29.2,Other neonatal disorders
P29.3,Other neonatal disorders
P29.8,Other neonatal disorders
P35.1,Congenital infection
P35.8,Congenital infection
P36,Neonatal sepsis
P36.0,Neonatal sepsis
P36.1,Neonatal sepsis
P36.2,Neonatal sepsis
P36.3,Neonatal sepsis
P36.4,Neonatal sepsis
P36.5,Neonatal sepsis
P36.8,Neonatal sepsis
P36.9,Neonatal sepsis
P37.0,Congenital infection
P37.1,Congenital infection
P37.2,Congenital infection
P37.3,Congenital infection
P37.4,Congenital infection
P37.5,Congenital infection
P38,Congenital infection
P39.2,Congenital infection
P39.9,Congenital infection
P50.0,Other neonatal disorders
P51.0,Other neonatal disorders
P52.0,Other neonatal disorders
P52.1,Other neonatal disorders
P52.2,Other neonatal disorders
P52.3,Other neonatal disorders
P52.4,Other neonatal disorders
P52.8,Other neonatal disorders
P52.9,Other neonatal disorders
P55.0,Other neonatal disorders
P55.1,Other neonatal disorders
P55.9,Other neonatal disorders
P56.9,Other neonatal disorders
P57.0,Other neonatal disorders
P57.9,Other neonatal disorders
P59.0,Other neonatal disorders
P59.9,Other neonatal disorders
P60,Other neonatal disorders
P61.0,Other neonatal disorders
P70.4,Other neonatal disorders
P74.1,Other neonatal disorders
P76,Other neonatal disorders
P76.9,Other neonatal disorders
P77,Other neonatal disorders
P78.0,Other neonatal disorders
P80.9,Other neonatal disorders
P83.2,Other neonatal disorders
P90,Other neonatal disorders
P91,Neonatal encephalopathy
P91.0,Neonatal encephalopathy
P91.2,Neonatal encephalopathy
P91.6,Neonatal encephalopathy
P91.8,Neonatal encephalopathy
P95,Undetermined
P96.4,"Other "
Q00.0,Congenital birth defects
Q00.1,Congenital birth defects
Q01.2,Congenital birth defects
Q02,Congenital birth defects
Q03,Congenital birth defects
Q03.1,Congenital birth defects
Q03.9,Congenital birth defects
Q04.2,Congenital birth defects
Q04.3,Congenital birth defects
Q04.6,Congenital birth defects
Q05,Congenital birth defects
Q05.2,Congenital birth defects
Q05.9,Congenital birth defects
Q11.1,Congenital birth defects
Q21,Other neonatal disorders
Q21.0,Congenital birth defects
Q21.1,Congenital birth defects
Q21.3,Congenital birth defects
Q23.4,Congenital birth defects
Q24.8,Congenital birth defects
Q24.9,Congenital birth defects
Q25.1,Congenital birth defects
Q28.8,Congenital birth defects
Q31.0,Congenital birth defects
Q31.1,Congenital birth defects
Q35,Congenital birth defects
Q35.9,Congenital birth defects
Q37.8,Congenital birth defects
Q37.9,Congenital birth defects
Q38.0,Congenital birth defects
Q39.1,Congenital birth defects
Q41.1,Congenital birth defects
Q42.0,Congenital birth defects
Q42.3,Congenital birth defects
Q42.9,Congenital birth defects
Q43.3,Congenital birth defects
Q44.2,Congenital birth defects
Q44.7,Congenital birth defects
Q61.3,Congenital birth defects
Q61.9,Congenital birth defects
Q62.0,Congenital birth defects
Q64.2,Congenital birth defects
Q64.9,Congenital birth defects
Q73.0,Congenital birth defects
Q75.3,Congenital birth defects
Q77.1,Congenital birth defects
Q78.9,Congenital birth defects
Q79.0,Congenital birth defects
Q79.2,Congenital birth defects
Q79.3,Congenital birth defects
Q81.9,Congenital birth defects
Q87,Congenital birth defects
Q87.1,Congenital birth defects
Q87.2,Congenital birth defects
Q87.8,Congenital birth defects
Q89,Congenital birth defects
Q89.4,Congenital birth defects
Q89.7,Congenital birth defects
Q89.9,Congenital birth defects
Q90,Congenital birth defects
Q90.9,Congenital birth defects
Q91.3,Congenital birth defects
Q91.7,Congenital birth defects
Q93.2,Congenital birth defects
Q98.0,Congenital birth defects
Q99.9,Congenital birth defects
R04.8,Other respiratory disease
R06.8,Other respiratory disease
R11,Diarrheal Diseases
R19.8,Other
R56.0,Other
R56.8,Other neurological disorders
R57.1,"Other disorders of fluid, electrolyte and acid-base balance"
R57.2,Sepsis
R62.8,Other
R69,Undetermined
R95,Sudden infant death syndrome
R96,Undetermined
R99,Undetermined
S06.2,Other neurological disorders
S06.5,Injury
S06.8,Injury
S07,Injury
S09.8,Injury
T07,Injury
T14.9,Injury
T17.4,Injury
T17.9,Injury
T20,Injury
T21,Injury
T21.0,Injury
T29.3,Injury
T30,Injury
T30.0,Injury
T31.0,Injury
T31.1,Injury
T31.2,Injury
T31.3,Injury
T31.5,Injury
T41.2,Poisoning
T45.1,Poisoning
T47.4,Poisoning
T55,Poisoning
T58,Poisoning
T60.0,Poisoning
T65,Poisoning
T68,Other
T69,Other
T71,Injury
T73.0,Other
T74.1,Injury
T74.8,Injury
T75.1,Injury
T80.2,Other
T81,Other
T81.4,Other
T81.9,Other
T85.5,Other
T85.7,Other
T88.3,Other
T88.9,Other
V03.9,Injury
V09.3,Road injuries
V89.2,Injury
W22,Injury
W65,Injury
W78,Other respiratory disease
X12,Injury
X68,Poisoning
Y07.9,Injury
Y60.0,Other
Y63.8,Other
Y66,Other
Y84.0,Other
Y88.1,Other
Z20.6,HIV exposure
Z22.3,Other
Z22.8,Other
Z35.2,Other maternal factor
Z35.3,Other maternal factor
Z35.5,Other maternal factor
Z35.6,Other maternal factor
Z38.1,Other maternal factor
Z64.0,Other maternal factor
Z64.1,Multiple gestation
Z87.0,Other respiratory disease
Z87.5,Other maternal factor
